Episode,Max Tile
0,32
1,64
2,64
3,32
4,128
5,32
6,64
7,128
8,64
9,256
10,64
11,64
12,32
13,64
14,64
15,64
16,64
17,32
18,128
19,64
20,128
21,64
22,32
23,256
24,128
25,128
26,256
27,64
28,128
29,32
30,64
31,32
32,256
33,128
34,128
35,64
36,128
37,64
38,128
39,128
40,64
41,64
42,128
43,32
44,64
45,128
46,256
47,64
48,128
49,64
50,64
51,256
52,32
53,128
54,32
55,64
56,128
57,64
58,128
59,128
60,64
61,128
62,64
63,128
64,64
65,32
66,256
67,64
68,64
69,64
70,32
71,64
72,256
73,64
74,32
75,32
76,128
77,64
78,32
79,32
80,128
81,64
82,64
83,128
84,32
85,64
86,64
87,64
88,64
89,32
90,256
91,64
92,128
93,64
94,128
95,64
96,64
97,128
98,32
99,128
100,64
101,32
102,128
103,64
104,32
105,64
106,64
107,32
108,128
109,64
110,128
111,128
112,128
113,16
114,64
115,64
116,64
117,128
118,32
119,128
120,128
121,32
122,64
123,32
124,16
125,64
126,128
127,64
128,32
129,64
130,32
131,64
132,128
133,128
134,64
135,128
136,128
137,32
138,64
139,64
140,64
141,64
142,32
143,64
144,128
145,32
146,32
147,32
148,128
149,128
150,128
151,128
152,32
153,32
154,128
155,32
156,128
157,32
158,64
159,128
160,128
161,128
162,64
163,64
164,128
165,32
166,128
167,32
168,64
169,64
170,128
171,32
172,256
173,32
174,128
175,64
176,64
177,16
178,64
179,64
180,128
181,64
182,128
183,256
184,32
185,64
186,128
187,32
188,64
189,64
190,128
191,64
192,32
193,64
194,32
195,64
196,32
197,32
198,256
199,64
200,64
201,128
202,128
203,128
204,64
205,256
206,128
207,64
208,64
209,128
210,64
211,32
212,128
213,32
214,64
215,64
216,64
217,128
218,128
219,32
220,64
221,32
222,64
223,128
224,128
225,32
226,64
227,64
228,64
229,32
230,64
231,128
232,64
233,32
234,64
235,128
236,32
237,128
238,128
239,64
240,64
241,256
242,128
243,64
244,128
245,64
246,128
247,64
248,32
249,128
250,32
251,128
252,64
253,128
254,128
255,64
256,64
257,128
258,128
259,64
260,256
261,128
262,256
263,64
264,128
265,128
266,128
267,128
268,64
269,128
270,128
271,64
272,32
273,128
274,64
275,128
276,128
277,128
278,32
279,128
280,128
281,128
282,128
283,64
284,32
285,128
286,64
287,64
288,64
289,128
290,128
291,128
292,64
293,128
294,128
295,64
296,64
297,64
298,64
299,64
300,128
301,128
302,32
303,64
304,32
305,64
306,64
307,16
308,64
309,64
310,256
311,128
312,32
313,64
314,64
315,32
316,64
317,128
318,256
319,128
320,64
321,128
322,64
323,128
324,64
325,64
326,32
327,128
328,64
329,64
330,32
331,64
332,64
333,128
334,256
335,128
336,128
337,64
338,128
339,256
340,64
341,64
342,64
343,128
344,32
345,64
346,64
347,32
348,256
349,64
350,128
351,128
352,32
353,32
354,128
355,256
356,128
357,256
358,128
359,128
360,128
361,64
362,32
363,64
364,64
365,128
366,64
367,64
368,128
369,32
370,128
371,128
372,128
373,64
374,256
375,64
376,128
377,256
378,128
379,64
380,128
381,64
382,64
383,256
384,128
385,128
386,32
387,128
388,128
389,64
390,128
391,64
392,64
393,128
394,128
395,64
396,128
397,128
398,64
399,64
400,16
401,128
