Episode,Score
0,440
1,744
2,904
3,200
4,1528
5,448
6,636
7,1172
8,840
9,2592
10,588
11,1276
12,444
13,1052
14,596
15,664
16,572
17,364
18,1684
19,1080
20,1144
21,1260
22,516
23,2396
24,1016
25,1544
26,3076
27,640
28,1124
29,576
30,1348
31,328
32,2680
33,1108
34,1380
35,820
36,1768
37,1012
38,1452
39,1520
40,1220
41,792
42,1984
43,344
44,1000
45,1028
46,2768
47,1024
48,1600
49,616
50,588
51,2916
52,340
53,936
54,588
55,588
56,1364
57,1040
58,1316
59,1460
60,1048
61,1328
62,592
63,1576
64,716
65,700
66,2804
67,1196
68,736
69,692
70,496
71,924
72,3096
73,1208
74,480
75,212
76,1416
77,976
78,440
79,456
80,1772
81,904
82,1188
83,1124
84,504
85,916
86,776
87,1124
88,844
89,536
90,3324
91,624
92,1000
93,664
94,1688
95,588
96,780
97,1316
98,404
99,1568
100,696
101,440
102,1360
103,964
104,432
105,628
106,576
107,620
108,1416
109,644
110,1728
111,1416
112,1788
113,104
114,728
115,868
116,784
117,1420
118,456
119,1528
120,1676
121,440
122,784
123,532
124,132
125,844
126,1676
127,1028
128,640
129,960
130,576
131,1164
132,1940
133,1332
134,948
135,1096
136,1236
137,508
138,700
139,1240
140,1032
141,860
142,272
143,1212
144,1164
145,444
146,320
147,612
148,1496
149,1744
150,1252
151,1516
152,400
153,336
154,1760
155,332
156,1756
157,424
158,928
159,1488
160,1124
161,1500
162,492
163,764
164,1392
165,448
166,1464
167,396
168,1152
169,856
170,2016
171,520
172,2980
173,436
174,1900
175,516
176,1352
177,220
178,1064
179,656
180,1804
181,740
182,1112
183,2428
184,308
185,1116
186,1228
187,468
188,856
189,1148
190,1136
191,788
192,540
193,628
194,348
195,616
196,544
197,400
198,2240
199,856
200,640
201,1596
202,1532
203,1612
204,1060
205,2532
206,1004
207,1000
208,1180
209,1368
210,1012
211,308
212,1656
213,560
214,432
215,752
216,528
217,1232
218,1544
219,532
220,680
221,304
222,872
223,1212
224,1664
225,264
226,1080
227,568
228,976
229,500
230,1028
231,1380
232,456
233,512
234,500
235,1944
236,464
237,2316
238,1500
239,720
240,832
241,2500
242,2172
243,508
244,1684
245,936
246,1504
247,928
248,320
249,1652
250,512
251,1504
252,828
253,2072
254,1040
255,900
256,1392
257,1960
258,1472
259,620
260,3336
261,1132
262,2204
263,836
264,1720
265,1164
266,1756
267,1468
268,968
269,1520
270,1032
271,696
272,472
273,1484
274,572
275,1144
276,916
277,1608
278,300
279,1472
280,1452
281,1620
282,1496
283,1016
284,404
285,1648
286,580
287,480
288,1172
289,1340
290,1716
291,1668
292,1008
293,1056
294,1760
295,1132
296,596
297,992
298,920
299,676
300,2372
301,1144
302,516
303,792
304,480
305,516
306,912
307,188
308,860
309,696
310,2320
311,1688
312,360
313,640
314,740
315,296
316,824
317,2264
318,2508
319,1404
320,872
321,1524
322,768
323,2144
324,1020
325,432
326,576
327,1852
328,704
329,912
330,636
331,940
332,796
333,1312
334,2344
335,1364
336,1592
337,696
338,1364
339,3028
340,792
341,824
342,844
343,1308
344,616
345,736
346,1476
347,312
348,2752
349,1324
350,1836
351,1548
352,376
353,324
354,1864
355,2672
356,1864
357,2636
358,1808
359,1492
360,1100
361,1196
362,324
363,732
364,852
365,1388
366,1564
367,908
368,1960
369,308
370,1320
371,1880
372,1700
373,1008
374,2692
375,632
376,1068
377,2044
378,1080
379,756
380,1856
381,884
382,1208
383,2860
384,1900
385,1824
386,200
387,1116
388,1036
389,580
390,1852
391,1128
392,736
393,1792
394,1840
395,884
396,1864
397,1452
398,528
399,796
400,160
401,2024
402,1148
403,636
404,1508
405,2368
406,1004
407,1112
408,2600
409,936
410,664
411,912
412,1284
413,188
414,560
415,1656
416,240
417,3188
418,668
419,736
420,720
421,1024
422,1376
423,1944
424,1148
425,1840
426,416
427,980
428,2364
429,3616
430,800
431,788
432,1108
433,1388
434,728
435,1092
436,1380
437,1116
438,664
439,732
440,1488
441,2876
442,3152
443,1340
444,1288
445,1592
