Episode,Score,Max Tile
1,37328,2048
2,32644,2048
3,14032,1024
4,80200,4096
5,16164,1024
6,32444,2048
7,34884,2048
8,76428,4096
9,51420,4096
10,71440,4096
11,36196,2048
12,59968,4096
13,36108,2048
14,21524,2048
15,32560,2048
16,12672,1024
17,32768,2048
18,60024,4096
19,70036,4096
20,35052,2048
21,36200,2048
22,17028,1024
23,37056,2048
24,51668,4096
25,11820,1024
26,59752,4096
27,67468,4096
28,76736,4096
29,22880,2048
30,35884,2048
31,15888,1024
32,9256,512
33,67464,4096
34,35680,2048
35,34420,2048
36,35840,2048
37,76604,4096
38,23056,2048
39,35708,2048
40,29800,2048
41,61060,4096
42,16292,1024
43,23208,2048
44,30500,2048
45,36948,2048
46,13828,1024
47,16476,1024
48,36104,2048
49,34536,2048
50,60384,4096
51,35364,2048
52,60344,4096
53,45676,4096
54,76532,4096
55,60832,4096
56,59988,4096
57,15516,1024
58,27844,2048
59,72272,4096
60,16076,1024
61,66520,4096
62,34928,2048
63,54272,4096
64,19468,1024
65,61012,4096
66,34808,2048
67,11444,1024
68,32084,2048
69,15888,1024
70,32504,2048
71,34796,2048
72,27868,2048
73,31552,2048
74,15752,1024
75,67744,4096
76,36020,2048
77,34696,2048
78,56440,4096
79,36240,2048
80,16628,1024
81,11216,1024
82,36216,2048
83,11604,1024
84,16464,1024
85,27268,2048
86,58512,4096
87,32224,2048
88,36196,2048
89,15608,1024
90,57236,4096
91,77872,4096
92,28088,2048
93,16228,1024
94,7176,512
95,38128,2048
96,31960,2048
97,23400,2048
98,36032,2048
99,15304,1024
100,12124,1024
101,56824,4096
102,36140,2048
103,54888,4096
104,51232,4096
105,35516,2048
106,32012,2048
107,16176,1024
108,16424,1024
109,33588,2048
110,30124,2048
111,35472,2048
112,7288,512
113,14584,1024
114,27320,2048
115,34828,2048
116,63464,4096
117,34476,2048
118,60084,4096
119,34760,2048
120,32552,2048
121,35840,2048
122,36284,2048
123,30612,2048
124,51496,4096
125,67588,4096
126,30460,2048
127,35744,2048
128,3016,256
129,2796,256
130,27416,2048
131,20884,2048
132,35576,2048
133,52008,4096
134,59108,4096
135,35232,2048
136,23408,2048
137,51516,4096
138,60412,4096
139,36276,2048
140,59548,4096
141,60452,4096
142,78916,4096
143,12072,1024
144,60724,4096
145,51796,4096
146,15992,1024
147,34708,2048
148,7272,512
149,16540,1024
150,26712,2048
151,55944,4096
152,7960,512
153,36816,2048
154,36172,2048
155,30436,2048
156,32460,2048
157,24892,2048
158,70944,4096
159,36024,2048
160,12292,1024
161,36232,2048
162,16120,1024
163,28056,2048
164,16388,1024
165,27048,2048
166,36228,2048
167,16112,1024
168,15864,1024
169,26196,2048
170,59336,4096
171,27148,2048
172,35504,2048
173,56704,4096
174,16348,1024
175,24272,2048
176,34360,2048
177,34732,2048
178,61412,4096
179,35236,2048
180,33932,2048
181,61012,4096
182,36056,2048
183,58276,4096
184,36280,2048
185,36544,2048
186,25640,2048
187,34576,2048
188,67240,4096
189,32312,2048
190,16644,1024
191,32388,2048
192,32244,2048
193,34428,2048
194,35960,2048
195,30104,2048
196,25776,2048
197,61468,4096
198,76560,4096
199,23588,2048
200,17304,1024
201,70692,4096
202,27120,2048
203,35268,2048
204,17072,1024
205,76220,4096
206,24624,2048
207,32240,2048
208,32348,2048
209,68004,4096
210,56672,4096
211,27544,2048
212,112800,8192
213,32236,2048
214,16600,1024
215,15892,1024
216,59972,4096
217,35960,2048
218,33780,2048
219,25800,2048
220,7148,512
221,16492,1024
222,36340,2048
223,16008,1024
224,34132,2048
225,69288,4096
226,36284,2048
227,16408,1024
228,32968,2048
229,60496,4096
230,25040,2048
231,37240,2048
232,36024,2048
233,61516,4096
234,35080,2048
235,26672,2048
236,36056,2048
237,27780,2048
238,78828,4096
239,16076,1024
240,58632,4096
241,59024,4096
242,16372,1024
243,35968,2048
244,32920,2048
245,72788,4096
246,7416,512
247,28672,2048
248,76392,4096
249,16136,1024
250,26548,2048
251,27092,2048
252,36556,2048
253,59240,4096
254,52264,4096
255,49724,4096
256,37120,2048
257,36416,2048
258,36932,2048
259,33736,2048
260,24548,2048
261,34592,2048
262,31724,2048
263,35824,2048
264,35440,2048
265,61484,4096
266,71932,4096
267,59260,4096
268,26472,2048
269,33900,2048
270,16076,1024
271,16468,1024
272,51796,4096
273,37848,2048
274,56716,4096
275,51408,4096
276,16352,1024
277,31504,2048
278,58964,4096
279,23376,2048
280,17644,1024
281,16236,1024
282,27452,2048
283,71572,4096
284,30392,2048
285,36112,2048
286,36828,2048
287,37604,2048
288,60384,4096
289,66124,4096
290,34480,2048
291,50616,4096
292,27420,2048
293,30912,2048
294,47528,4096
295,46948,4096
296,30708,2048
297,34836,2048
298,60496,4096
299,17068,1024
300,27612,2048
301,32828,2048
302,12136,1024
303,51140,4096
304,16420,1024
305,32296,2048
306,27120,2048
307,32040,2048
308,37100,2048
309,7188,512
310,60296,4096
311,70120,4096
312,34852,2048
313,16120,1024
314,25700,2048
315,51216,4096
316,60400,4096
317,34388,2048
318,16164,1024
319,27232,2048
320,61192,4096
321,59348,4096
322,32312,2048
323,58884,4096
324,37928,2048
325,36348,2048
326,51636,4096
327,32008,2048
328,14640,1024
329,25556,2048
330,80972,4096
331,34876,2048
332,36760,2048
333,33052,2048
334,25176,2048
335,36600,2048
336,62940,4096
337,32176,2048
338,70056,4096
339,36000,2048
340,32088,2048
341,34196,2048
342,25868,2048
343,34356,2048
344,28692,2048
345,51720,4096
346,52668,4096
347,77156,4096
348,36208,2048
349,34888,2048
350,31080,2048
351,33240,2048
352,34320,2048
