Episode,Score,Max Tile
1,1388,128
2,620,64
3,424,32
4,2728,256
5,476,64
6,1284,128
7,600,64
8,692,64
9,1312,128
10,1372,128
11,588,64
12,1196,128
13,660,64
14,552,64
15,2380,256
16,1372,128
17,1336,128
18,728,64
19,1180,128
20,688,64
21,1460,128
22,1024,128
23,664,64
24,372,32
25,1124,128
26,2560,256
27,860,64
28,1028,128
29,928,64
30,628,64
31,608,64
32,636,64
33,1380,128
34,704,64
35,208,16
36,1352,128
37,332,32
38,312,32
39,700,64
40,1376,128
41,1428,128
42,1096,128
43,648,64
44,1328,128
45,660,64
46,596,64
47,2104,256
48,1036,128
49,592,64
50,1124,128
51,1352,128
52,716,64
53,1412,128
54,468,64
55,2324,256
56,280,32
57,1328,128
58,1532,128
59,548,64
60,992,128
61,632,64
62,1068,128
63,712,64
64,1348,128
65,240,32
66,652,64
67,1376,128
68,1472,128
69,1264,128
70,2180,256
71,420,32
72,1056,64
73,692,64
74,372,32
75,2248,256
76,964,64
77,320,32
78,908,64
79,484,64
80,584,64
81,1504,128
82,1192,128
83,436,64
84,556,64
85,364,32
86,1032,128
87,880,64
88,588,64
89,688,64
90,1456,128
91,656,64
92,1368,128
93,688,64
94,1356,128
95,716,64
96,1392,128
97,1060,128
98,504,64
99,2160,256
100,888,64
101,1288,128
102,1044,128
103,1404,128
104,1304,128
105,1076,128
106,1368,128
107,2612,256
108,576,64
109,1096,64
110,1312,128
111,1656,128
112,672,64
113,1476,128
114,644,64
115,1136,128
116,576,64
117,1332,128
118,2008,256
119,636,64
120,564,64
121,1412,128
122,1396,128
123,1040,64
124,688,64
125,760,64
126,692,64
127,744,64
128,488,64
129,432,32
130,1320,128
131,920,64
132,1332,128
133,868,128
134,452,32
135,508,64
136,704,64
137,1356,128
138,632,64
139,580,64
140,1020,128
141,1608,128
142,2228,256
143,452,32
144,1352,128
145,400,32
146,940,128
147,592,64
148,1100,64
149,668,64
150,560,64
151,304,32
152,1320,128
153,1380,128
154,1240,128
155,872,64
156,1548,128
157,1388,128
158,1312,128
159,1540,128
160,388,32
161,356,32
162,1072,128
163,1748,128
164,572,64
165,628,64
166,1136,128
167,1400,128
168,720,64
169,1168,128
170,1044,128
171,472,64
172,1440,128
173,1224,128
174,1432,128
175,432,32
176,280,32
177,624,64
178,1244,128
179,2300,256
180,1312,128
181,648,64
182,588,64
183,368,32
184,624,64
185,1376,128
186,1352,128
187,476,64
188,860,64
189,1236,128
190,764,64
191,324,32
192,1236,128
193,732,64
194,724,64
195,1524,128
196,760,64
197,1320,128
198,1136,128
199,468,32
200,1228,128
201,764,64
202,1048,128
203,1464,128
204,696,64
205,612,64
206,260,32
207,1372,128
208,932,128
209,756,64
210,456,64
211,272,32
212,348,32
213,328,32
214,1428,128
215,908,64
216,768,64
217,1272,128
218,880,64
219,772,64
220,244,32
221,1764,128
222,224,32
223,1064,128
224,628,64
225,1368,128
226,644,64
227,628,64
228,1256,128
229,1384,128
230,648,64
231,1156,128
232,952,64
233,672,64
234,1452,128
235,1296,128
236,324,32
237,1448,128
238,1160,128
239,724,64
240,1276,128
241,872,64
242,1240,128
243,556,64
244,956,128
245,724,64
246,448,64
247,1344,128
248,1352,128
249,1076,128
250,2100,256
251,1108,128
252,720,64
253,564,64
254,2076,256
255,688,64
256,712,64
257,248,32
258,516,64
259,372,32
260,1216,128
261,2212,256
262,344,32
263,844,64
264,964,128
265,1484,128
266,500,64
267,344,32
268,628,64
269,352,32
270,920,64
271,352,32
272,336,32
273,1556,128
274,348,32
275,956,128
276,612,64
277,860,64
278,1244,128
279,700,64
280,1452,128
281,660,64
282,700,64
283,728,64
284,1068,128
285,1428,128
286,552,64
287,592,64
288,728,64
289,628,64
290,1316,128
291,1040,128
292,732,64
293,1004,128
294,844,64
295,1092,128
296,688,64
297,1008,64
298,944,128
299,1352,128
300,908,64
301,1108,128
302,1312,128
303,588,64
304,472,64
305,616,64
306,1300,128
307,1300,128
308,736,64
309,636,64
310,644,64
311,1156,128
312,480,64
313,600,64
314,584,64
315,1296,128
316,1352,128
317,712,64
318,600,64
319,364,32
320,1048,128
321,1624,128
322,324,32
323,1312,128
324,920,128
325,1364,128
326,748,64
327,528,64
328,692,64
329,1344,128
330,1572,128
331,664,64
332,688,64
333,560,64
334,596,64
335,1724,128
336,1072,128
337,524,64
338,620,64
339,536,64
340,1248,128
341,364,32
342,736,64
343,1496,128
344,1304,128
345,1192,128
346,1632,128
347,424,32
348,1348,128
349,300,32
350,808,64
351,868,64
352,700,64
353,2044,256
354,1636,128
355,636,64
356,464,32
357,572,64
358,540,64
359,748,64
360,696,64
361,2700,256
362,472,32
363,676,64
364,784,64
365,636,64
366,336,32
367,1232,128
368,524,64
369,1060,128
370,264,32
371,1160,128
372,1132,128
373,1012,128
374,744,64
375,732,64
376,1092,128
377,576,64
378,1244,128
379,1288,128
380,172,16
381,1204,128
382,704,64
383,508,64
384,564,64
385,756,64
386,724,64
387,680,64
388,1268,128
389,984,64
390,704,64
391,1304,128
392,1932,128
393,572,64
394,556,64
395,1172,128
396,1304,128
397,1880,128
398,1324,128
399,580,64
400,1536,128
401,216,32
402,1404,128
403,1944,256
404,1612,128
405,632,64
406,1192,128
407,480,64
408,688,64
409,1064,128
410,1672,128
411,2340,256
412,1424,128
413,644,64
414,456,64
415,704,64
416,512,64
417,680,64
418,372,32
419,1248,128
420,1212,128
421,596,64
422,1476,128
423,900,64
424,564,32
425,1040,128
426,1276,128
427,312,32
428,432,64
429,996,128
430,424,32
431,720,64
432,1568,128
433,320,32
434,868,128
435,1020,128
436,692,64
437,680,64
438,796,64
439,1832,128
440,1140,128
441,640,64
442,916,64
443,1364,128
444,584,64
445,1132,128
446,252,32
447,1348,128
448,412,32
449,700,64
450,576,64
451,632,64
452,600,64
453,1136,128
454,1352,128
455,900,64
456,500,64
457,576,64
458,924,128
459,1120,128
460,708,64
461,584,64
462,932,128
463,560,64
464,1340,128
465,700,64
466,460,64
467,1172,64
468,676,64
469,928,128
470,1296,128
471,744,64
472,916,64
473,592,64
474,960,64
475,556,64
476,872,64
477,1460,128
478,544,64
479,1216,128
480,616,64
481,576,64
482,1264,128
483,1380,128
484,556,64
485,1308,128
486,768,64
487,484,64
488,1100,128
489,1652,128
490,768,64
491,892,64
492,800,64
493,664,64
494,692,64
495,1420,128
496,824,64
497,712,64
498,1200,128
499,672,64
500,1004,128
501,748,64
502,732,64
503,576,64
504,596,64
505,1132,128
